Mercedes	-34.65145	-59.43068	AR	52949
Mercedes	-29.18416	-58.07519	AR	30649
Mar del Plata	-38.00228	-57.55754	AR	553935
Luján	-34.57028	-59.105	AR	81749
La Plata	-34.92145	-57.95453	AR	694167
La Paz	-30.74485	-59.64566	AR	24716
Jardín América	-27.04346	-55.22698	AR	24905
Gualeguaychú	-33.00937	-58.51722	AR	78676
Gualeguay	-33.14156	-59.30966	AR	33120
Goya	-29.14395	-59.2651	AR	70245
Gobernador Ingeniero Valentín Virasoro	-28.05	-56.03333	AR	28756
General José de San Martín	-26.53743	-59.34158	AR	31758
Garupá	-27.48171	-55.82921	AR	28814
Formosa	-26.17753	-58.17814	AR	221383
Fontana	-27.41813	-59.02392	AR	26745
Federal	-30.95465	-58.78326	AR	16333
Esquina	-30.01444	-59.52719	AR	26399
El Soberbio	-27.29847	-54.19877	AR	19571
Dolores	-36.31321	-57.67918	AR	25190
Curuzú Cuatiá	-29.79171	-58.0546	AR	36390
Corrientes	-27.4806	-58.8341	AR	339067
Concordia	-31.39296	-58.02089	AR	145210
Concepción del Uruguay	-32.48249	-58.23722	AR	67895
Colegiales	-34.57365	-58.44924	AR	57000
Chajarí	-30.75048	-57.97962	AR	30655
Campana	-34.16874	-58.95914	AR	81612
Buenos Aires	-34.61315	-58.37723	AR	13076300
Barranqueras	-27.48132	-58.93925	AR	50823
Azul	-36.77698	-59.85854	AR	53941
Avellaneda	-29.11761	-59.65834	AR	23077
Aristóbulo del Valle	-27.09625	-54.89626	AR	20683
Zapala	-38.89916	-70.05442	AR	31534
Yerba Buena	-26.81667	-65.31667	AR	50783
Villa Regina	-39.1	-67.06667	AR	31209
Villa Paula de Sarmiento	-31.4933	-68.53838	AR	19092
Villa Nueva	-32.43293	-63.24763	AR	16841
Villa María	-32.40751	-63.24016	AR	92453
Villa Dolores	-31.94585	-65.18958	AR	28009
Villa Constitución	-33.22778	-60.3297	AR	44271
Villa Carlos Paz	-31.42414	-64.49778	AR	69451
Villa Ángela	-27.57383	-60.71526	AR	43511
Villa Allende	-31.29458	-64.29538	AR	21683
Viedma	-40.81345	-62.99668	AR	48940
Victoria	-32.61841	-60.15478	AR	25139
Vera	-29.4593	-60.21261	AR	19797
Venado Tuerto	-33.74556	-61.96885	AR	72340
Veinticinco de Mayo	-35.4323	-60.17271	AR	24668
Ushuaia	-54.8	-68.3	AR	58028
Unquillo	-31.23073	-64.31615	AR	15369
Tres Isletas	-26.34067	-60.43207	AR	24747
Tres Arroyos	-38.37394	-60.27978	AR	47136
Trelew	-43.24895	-65.30505	AR	93442
Termas de Río Hondo	-27.49362	-64.85972	AR	27838
Tartagal	-22.51637	-63.80131	AR	60819
Tafí Viejo	-26.73201	-65.25921	AR	48459
Sunchales	-30.94404	-61.56148	AR	18757
Santo Tomé	-31.66274	-60.7653	AR	59072
Santiago del Estero	-27.79511	-64.26149	AR	354692
Santa Rosa	-36.61667	-64.28333	AR	111424
Santa Lucía	-31.53987	-68.49503	AR	43565
Santa Fe de la Vera Cruz	-31.63333	-60.7	AR	489505
San Salvador de Jujuy	-24.19457	-65.29712	AR	305891
San Ramón de la Nueva Orán	-23.13705	-64.32426	AR	74059
San Rafael	-34.61772	-68.33007	AR	109163
San Pedro	-24.23127	-64.86614	AR	58430
San Nicolás de los Arroyos	-33.33578	-60.22523	AR	127742
San Miguel de Tucumán	-26.82414	-65.2226	AR	781023
San Martín de los Andes	-40.15789	-71.35337	AR	23519
San Martín	-33.08103	-68.46814	AR	82549
San Luis	-33.29501	-66.33563	AR	183982
San Justo	-30.78913	-60.59189	AR	21809
San Juan	-31.5375	-68.53639	AR	447048
San José de Jáchal	-30.24057	-68.74693	AR	21018
San Jorge	-31.89618	-61.85984	AR	16873
San Francisco	-31.42797	-62.08266	AR	59062
San Fernando del Valle de Catamarca	-28.46957	-65.78524	AR	188812
San Antonio Oeste	-40.73193	-64.94769	AR	16966
Salta	-24.7859	-65.41166	AR	512686
Rufino	-34.26827	-62.71262	AR	18361
Rosario	-32.94682	-60.63932	AR	1173533
Río Tercero	-32.17301	-64.11405	AR	53389
Río Segundo	-31.6526	-63.9099	AR	18155
Río Gallegos	-51.62261	-69.21813	AR	85700
Río Cuarto	-33.13067	-64.34992	AR	153757
Río Ceballos	-31.16486	-64.32241	AR	16632
Rawson	-43.30016	-65.10228	AR	26335
Rafaela	-31.25033	-61.4867	AR	88713
Quitilipi	-26.86913	-60.21683	AR	32083
Punta Alta	-38.87588	-62.07359	AR	57209
Puerto Madryn	-42.7692	-65.03851	AR	64555
Presidencia Roque Sáenz Peña	-26.78522	-60.43876	AR	81879
Pocito	-31.68333	-68.58333	AR	40969
Plottier	-38.96667	-68.23333	AR	25186
Pergamino	-33.88995	-60.57357	AR	87652
Pérez	-32.99835	-60.76791	AR	24436
Paraná	-31.73197	-60.5238	AR	262295
Palpalá	-24.25647	-65.21163	AR	48199
Olavarría	-36.89272	-60.32254	AR	86320
Nueve de Julio	-35.44437	-60.88313	AR	34718
Neuquén	-38.95161	-68.0591	AR	242092
Morteros	-30.71164	-61.99862	AR	15129
Monteros	-27.16741	-65.49832	AR	23771
Mendoza	-32.89084	-68.82717	AR	876884
Marcos Juárez	-32.6978	-62.10672	AR	24226
Machagai	-26.92614	-60.04955	AR	28070
Lincoln	-34.86649	-61.5302	AR	41808
Libertador General San Martín	-23.80644	-64.78757	AR	49267
Las Breñas	-27.08966	-61.08161	AR	26955
La Rioja	-29.41105	-66.85067	AR	162620
La Falda	-31.08841	-64.48987	AR	15112
La Calera	-31.34377	-64.33529	AR	24796
Laboulaye	-34.12662	-63.39119	AR	19908
Junín	-34.58382	-60.94332	AR	85007
Joaquín V. González	-25.08333	-64.18333	AR	19185
Jesús María	-30.98153	-64.09424	AR	26825
Granadero Baigorria	-32.85683	-60.71754	AR	32427
Gobernador Gálvez	-33.03016	-60.64045	AR	74650
General Villegas	-35.03285	-63.01252	AR	16270
General Roca	-39.03333	-67.58333	AR	73212
General Pinedo	-27.31667	-61.28333	AR	15741
General Pico	-35.65662	-63.75682	AR	57029
General Enrique Mosconi	-22.59588	-63.81255	AR	19811
Gálvez	-32.02927	-61.22103	AR	18374
Firmat	-33.45937	-61.4832	AR	18294
Famaillá	-27.05413	-65.40329	AR	30951
Esquel	-42.91147	-71.31947	AR	28486
Esperanza	-31.4488	-60.93173	AR	35885
Embarcación	-23.21003	-64.09965	AR	23961
Embalse	-32.18	-64.41809	AR	15900
El Bolsón	-41.96051	-71.53336	AR	15537
Diamante	-32.06641	-60.63837	AR	19545
Deán Funes	-30.42036	-64.34984	AR	20164
Cutral-Có	-38.93424	-69.23052	AR	47380
Cruz del Eje	-30.72644	-64.80387	AR	28166
Crespo	-32.02873	-60.30658	AR	18296
Cosquín	-31.24508	-64.46563	AR	19070
Coronel Suárez	-37.45467	-61.93343	AR	27000
Coronda	-31.97263	-60.91983	AR	16975
Córdoba	-31.4135	-64.18105	AR	1428214
Comodoro Rivadavia	-45.86413	-67.49656	AR	140850
Cipolletti	-38.93392	-67.99032	AR	75078
Cinco Saltos	-38.82225	-68.06293	AR	19819
Chivilcoy	-34.89566	-60.01667	AR	54514
Chimbas	-31.48333	-68.53333	AR	73829
Chilecito	-29.16195	-67.4974	AR	42248
Charata	-27.21438	-61.18795	AR	27813
Chacabuco	-34.64167	-60.47389	AR	34587
Centenario	-38.82955	-68.1318	AR	28956
Caucete	-31.65179	-68.28105	AR	33609
Catriel	-37.87907	-67.7956	AR	15169
Castelli	-25.94679	-60.61947	AR	36588
Casilda	-33.04417	-61.16806	AR	32002
Carcarañá	-32.85679	-61.15331	AR	15619
Capitán Bermúdez	-32.82262	-60.71852	AR	27060
Cañada de Gómez	-32.81636	-61.39493	AR	36000
Caleta Olivia	-46.43929	-67.52814	AR	36077
Bell Ville	-32.62591	-62.68873	AR	35105
Bella Vista	-27.03424	-65.30196	AR	15126
Bahía Blanca	-38.71959	-62.27243	AR	276546
Arroyo Seco	-33.15489	-60.50863	AR	20008
Arroyito	-31.42022	-63.05002	AR	19577
Añatuya	-28.46064	-62.83472	AR	20261
Alta Gracia	-31.65292	-64.42826	AR	40384
Allen	-38.97736	-67.82714	AR	26083
Alderetes	-26.81667	-65.13333	AR	38466
Albardón	-31.43722	-68.52556	AR	20413
Aguilares	-27.4338	-65.61427	AR	32494
Villa Santa Rita	-34.61082	-58.481	AR	34000
Villa Mercedes	-33.67571	-65.45783	AR	96781
San Carlos de Bariloche	-41.14557	-71.30822	AR	95394
Adrogué	-34.80041	-58.38384	AR	28265
Pago Pago	-14.27806	-170.7025	AS	11500
Wolfsberg	46.84056	14.84417	AT	25610
Wiener Neustadt	47.80485	16.23196	AT	38481
Vienna	48.20849	16.37208	AT	1691468
Wels	48.16667	14.03333	AT	57946
Weinzierl bei Krems	48.4	15.6	AT	24092
Villach	46.61028	13.85583	AT	58882
Traun	48.22656	14.23459	AT	23959
Traiskirchen	48.01485	16.29324	AT	16212
Ternitz	47.71565	16.03575	AT	15153
Steyr	48.04274	14.42127	AT	39566
Spittal an der Drau	46.8	13.5	AT	16363
Schwechat	48.13333	16.46667	AT	15711
Sankt Pölten	48.2	15.63333	AT	49001
Salzburg	47.79941	13.04399	AT	150269
Saalfelden am Steinernen Meer	47.42681	12.848	AT	16119
Mödling	48.08605	16.28921	AT	20710
Lustenau	47.42642	9.65851	AT	20218
Linz	48.30639	14.28611	AT	181162
Leonding	48.27965	14.2533	AT	22736
Leoben	47.3765	15.09144	AT	24809
Kufstein	47.58333	12.16667	AT	16115
Krems an der Donau	48.40921	15.61415	AT	23932
Klosterneuburg	48.30521	16.32522	AT	24843
Klagenfurt am Wörthersee	46.62472	14.30528	AT	90610
Kapfenberg	47.44458	15.29331	AT	21819
Innsbruck	47.26266	11.39454	AT	112467
Hallein	47.68333	13.1	AT	18980
Graz	47.06667	15.45	AT	222326
Feldkirch	47.23306	9.6	AT	31082
Dornbirn	47.41427	9.74195	AT	43013
Bregenz	47.50311	9.7471	AT	27611
Braunau am Inn	48.25628	13.04343	AT	16403
Baden	48.00543	16.23264	AT	24893
Amstetten	48.1229	14.87206	AT	22832
Ansfelden	47.965	13.04944	AT	15673
Whyalla	-33.03268	137.56483	AU	19645
Rockingham	-32.27682	115.72978	AU	108022
Prospect	-34.88241	138.5933	AU	20217
Port Hedland	-20.31215	118.61059	AU	15044
Perth	-31.95224	115.8614	AU	1896548
Murray Bridge	-35.11986	139.27345	AU	19577
Mount Isa	-20.72523	139.49727	AU	22785
Morphett Vale	-35.13333	138.51667	AU	22602
Mandurah	-32.5269	115.7217	AU	83294
Kwinana	-32.23013	115.78128	AU	30433
Kalgoorlie	-30.74614	121.4742	AU	31107
Gosnells	-32.081	116.0054	AU	17277
Geraldton	-28.77897	114.61459	AU	26872
Gawler	-34.60251	138.74902	AU	20006
Fremantle	-32.05632	115.74557	AU	24835
Darwin	-12.46113	130.84185	AU	129062
Busselton	-33.65249	115.3455	AU	21898
Bunbury	-33.32711	115.64137	AU	68248
Armadale	-32.14607	116.0093	AU	62296
Alice Springs	-23.69748	133.88362	AU	25186
Albany	-35.02692	117.88369	AU	33650
Adelaide	-34.92866	138.59863	AU	1225235
Woodridge	-27.63333	153.1	AU	20650
Wodonga	-36.12179	146.88809	AU	31605
Werribee	-37.9	144.66667	AU	37737
Warrnambool	-38.38176	142.48799	AU	33982
Wantirna South	-37.88333	145.21667	AU	17477
Wangaratta	-36.35846	146.32056	AU	16845
Wagga Wagga	-35.12577	147.35375	AU	46913
Traralgon	-38.19528	146.5415	AU	21960
Townsville	-19.26639	146.80569	AU	196219
Toowoomba	-27.56056	151.95386	AU	131258
Thornbury	-37.75	145	AU	17434
Thomastown	-37.68333	145.01667	AU	20331
Tarneit	-37.86667	144.66667	AU	21690
Taree	-31.91099	152.45387	AU	16621
Tamworth	-31.09048	150.92905	AU	47597
Sydney	-33.86785	151.20732	AU	4627345
Surfers Paradise	-28.00274	153.42999	AU	18501
Sunnybank	-27.58333	153.05	AU	16442
Sunbury	-37.57742	144.72607	AU	29925
Port Stephens	-32.71314	152.06623	AU	27531
Springvale	-37.94853	145.15274	AU	19771
Southport	-27.96724	153.39796	AU	28315
South Grafton	-29.7076	152.92627	AU	16399
Shepparton	-36.38047	145.39867	AU	38773
Seaford	-38.1	145.13333	AU	16033
Saint Kilda	-37.8676	144.98099	AU	17795
Saint Albans	-37.73333	144.8	AU	35091
Rowville	-37.93333	145.23333	AU	34145
Rockhampton	-23.38032	150.50595	AU	61724
Richmond	-37.81819	145.00176	AU	26121
Reservoir	-37.71667	145	AU	47637
Queanbeyan	-35.35493	149.232	AU	40661
Quakers Hill	-33.73333	150.88333	AU	25017
Preston	-37.75	145.01667	AU	29925
Port Macquarie	-31.43084	152.90894	AU	41491
Point Cook	-37.91482	144.75088	AU	32413
Pakenham South	-38.13333	145.51667	AU	32911
Orange	-33.28397	149.10018	AU	39329
Nowra	-34.88422	150.60036	AU	34479
